State,2016 Winner,2016 Margin,2020 Projected Winner,2020 Projected Margin
Wisconsin,Donald Trump,0.7%,Joe Biden,2.53%
Florida,Donald Trump,1.2%,Joe Biden,2.13%
Arizona,Donald Trump,3.6%,Joe Biden,0.52%
Michigan,Donald Trump,0.2%,Joe Biden,4.06%
Pennsylvania,Donald Trump,0.7%,Joe Biden,3.99%
North Carolina,Donald Trump,3.6%,Joe Biden,1.27%
